Dataset,FEAT,TS2Vec,T-Loss,TNC,TS-TCC,TST,DTW
ArticularyWordRecognition,0.991,0.987,0.943,0.973,0.953,0.977,0.987
AtrialFibrillation,0.293,0.2,0.133,0.133,0.267,0.067,0.2
BasicMotions,1.0,0.975,1.0,0.975,1.0,0.975,0.975
CharacterTrajectories,0.993,0.995,0.993,0.967,0.985,0.975,0.989
Cricket,0.969,0.972,0.972,0.958,0.917,1.0,1.0
DuckDuckGeese,0.564,0.68,0.65,0.46,0.38,0.62,0.6
EigenWorms,0.811,0.847,0.84,0.84,0.779,0.748,0.618
Epilepsy,0.948,0.964,0.971,0.957,0.957,0.949,0.964
ERing,0.896,0.874,0.133,0.852,0.904,0.874,0.133
EthanolConcentration,0.322,0.308,0.205,0.297,0.285,0.262,0.323
FaceDetection,0.53,0.501,0.513,0.536,0.544,0.534,0.529
FingerMovements,0.488,0.48,0.58,0.47,0.46,0.56,0.53
HandMovementDirection,0.378,0.338,0.351,0.324,0.243,0.243,0.231
Handwriting,0.542,0.515,0.451,0.249,0.498,0.225,0.286
Heartbeat,0.746,0.683,0.741,0.746,0.751,0.746,0.717
JapaneseVowels,0.983,0.984,0.989,0.978,0.93,0.978,0.949
Libras,0.889,0.867,0.883,0.817,0.822,0.656,0.87
LSST,0.548,0.537,0.509,0.595,0.474,0.408,0.551
MotorImagery,0.562,0.51,0.58,0.5,0.61,0.5,0.5
NATOPS,0.921,0.928,0.917,0.911,0.822,0.85,0.883
PEMS-SF,0.874,0.682,0.676,0.699,0.734,0.74,0.711
PenDigits,0.989,0.989,0.981,0.979,0.974,0.56,0.977
PhonemeSpectra,0.216,0.233,0.222,0.207,0.252,0.085,0.151
RacketSports,0.888,0.855,0.855,0.776,0.816,0.809,0.803
SelfRegulationSCP1,0.852,0.812,0.843,0.799,0.823,0.754,0.775
SelfRegulationSCP2,0.562,0.578,0.539,0.55,0.533,0.55,0.539
SpokenArabicDigits,0.986,0.988,0.905,0.934,0.97,0.923,0.963
StandWalkJump,0.533,0.467,0.333,0.4,0.333,0.267,0.2
UWaveGestureLibrary,0.929,0.906,0.875,0.759,0.753,0.575,0.903
InsectWingbeat,0.462,0.466,0.156,0.469,0.264,0.105,
