dataset,ST,NN-DTW,MCDCNN,MCNN,ConvTimeNet,MiniRocket,TimesNet,TST,Crossformer,Reformer,DLinear,GPT4TS,CrossTimeNet,Time-LLM,Time-FFM,HiTime
CharacterTrajectories,0.9722,0.9903,0.9858,0.9861,0.9937,0.9817,0.9761,0.9833,0.9759,0.9821,0.9759,0.9844,0.9247,0.9865,0.9923,0.9944
Epilepsy,0.8019,0.8913,0.9638,0.9614,0.9855,0.9819,0.8913,0.8889,0.8077,0.8527,0.6087,0.744,0.913,0.933,0.9638,0.9855
FaceDetection,0.5677,0.5329,0.5969,0.6613,0.6804,0.6317,0.6902,0.6897,0.6927,0.6936,0.6934,0.6916,0.5808,0.6003,0.59,0.6771
Heartbeat,0.7398,0.6732,0.7561,0.722,0.7301,0.7598,0.7285,0.7463,0.7236,0.722,0.7398,0.722,0.7463,0.722,0.722,0.761
NATOPS,0.8296,0.8667,0.9074,0.8667,0.9667,0.8759,0.8907,0.9463,0.9352,0.9241,0.9278,0.8926,0.7666,0.8056,0.9667,0.9833
PenDigits,0.9809,0.9774,0.9805,0.9661,0.9814,0.9847,0.9809,0.982,0.9796,0.9859,0.8685,0.9827,0.9645,0.9783,0.9811,0.9824
PEMS-SF,0.6069,0.6936,0.7803,0.7631,0.8245,0.7206,0.8537,0.842,0.8092,0.8314,0.8651,0.8726,0.682,0.7271,0.7052,0.8844
SpokenArabicDigits,0.9847,0.9595,0.9815,0.9888,0.9916,0.9891,0.9898,0.9862,0.9785,0.9861,0.9707,0.9877,0.969,0.9811,0.9891,0.9932
SelfRegulationSCP1,0.802,0.785,0.901,0.9113,0.8907,0.8458,0.9192,0.9124,0.9022,0.9206,0.8805,0.9101,0.8328,0.8123,0.8191,0.9249
SelfRegulationSCP2,0.5648,0.4833,0.5278,0.5352,0.5556,0.5648,0.5185,0.5704,0.5352,0.5537,0.5111,0.5685,0.5709,0.5667,0.5722,0.5778
