Dataset,TimesURL,InfoTS,TS2Vec,T-Loss,TNC,TS-TCC,TST,DTW
ArticularyWordRecognition,0.990,0.987,0.987,0.943,0.973,0.953,0.977,0.987
AtrialFibrillation,0.400,0.200,0.200,0.133,0.133,0.267,0.067,0.200
BasicMotions,1.000,0.975,0.975,1.000,0.975,1.000,0.975,0.975
CharacterTrajectories,0.990,0.974,0.995,0.993,0.967,0.985,0.975,0.989
Cricket,1.000,0.986,0.972,0.972,0.958,0.917,1.000,1.000
DuckDuckGeese,0.720,0.540,0.680,0.650,0.460,0.380,0.620,0.600
EigenWorms,0.870,0.733,0.847,0.840,0.840,0.779,0.748,0.618
Epilepsy,0.978,0.971,0.964,0.971,0.957,0.957,0.949,0.964
ERing,0.985,0.949,0.874,0.133,0.852,0.904,0.874,0.133
EthanolConcentration,0.304,0.281,0.308,0.205,0.297,0.285,0.262,0.323
FaceDetection,0.608,0.534,0.501,0.513,0.536,0.544,0.534,0.529
FingerMovements,0.660,0.630,0.480,0.580,0.470,0.460,0.560,0.530
HandMovementDirection,0.432,0.392,0.338,0.351,0.324,0.243,0.243,0.231
Handwriting,0.462,0.452,0.515,0.451,0.249,0.498,0.225,0.286
Heartbeat,0.746,0.722,0.683,0.741,0.746,0.751,0.746,0.717
JapaneseVowels,0.989,0.984,0.984,0.989,0.978,0.930,0.978,0.949
Libras,0.922,0.883,0.867,0.883,0.817,0.822,0.656,0.870
LSST,0.602,0.591,0.537,0.509,0.595,0.474,0.408,0.551
MotorImagery,0.680,0.630,0.510,0.580,0.500,0.610,0.500,0.500
NATOPS,0.961,0.933,0.928,0.917,0.911,0.822,0.850,0.883
PEMS-SF,0.821,0.751,0.682,0.676,0.699,0.734,0.740,0.711
PenDigits,0.989,0.990,0.989,0.981,0.979,0.974,0.560,0.977
PhonemeSpectra,0.237,0.249,0.233,0.222,0.207,0.252,0.085,0.151
RacketSports,0.862,0.855,0.855,0.855,0.776,0.816,0.809,0.803
SelfRegulationSCP1,0.908,0.874,0.812,0.843,0.799,0.823,0.754,0.775
SelfRegulationSCP2,0.600,0.578,0.578,0.539,0.550,0.533,0.550,0.539
SpokenArabicDigits,0.985,0.947,0.988,0.905,0.934,0.970,0.923,0.963
StandWalkJump,0.467,0.467,0.467,0.333,0.400,0.333,0.267,0.200
UWaveGestureLibrary,0.919,0.884,0.906,0.875,0.759,0.753,0.575,0.903
InsectWingbeat,0.473,0.470,0.466,0.156,0.469,0.264,0.105,
Avg. ACC,0.752,0.714,0.704,0.658,0.670,0.668,0.617,0.629
Avg. Rank,1.367,3.200,3.567,4.567,5.333,5.000,5.900,5.207
