Dataset,SE,SIMAM,ECA,MCA,CBAM,SANET,GSACA,MLCA,DCA
SelfRegulationSCP1,0.812,0.881,0.792,0.875,0.881,0.879,0.88,0.883,0.891
SelfRegulationSCP2,0.578,0.583,0.572,0.58,0.581,0.575,0.591,0.589,0.622
MotorImagery,0.62,0.66,0.63,0.655,0.64,0.65,0.662,0.665,0.68
MedicalImages,0.741,0.745,0.728,0.73,0.741,0.735,0.74,0.742,0.743
EMOPain,0.563,0.544,0.561,0.55,0.541,0.565,0.568,0.57,0.687
ECG200,0.87,0.86,0.89,0.88,0.89,0.885,0.888,0.891,0.9
ECG5000,0.93,0.936,0.936,0.935,0.939,0.937,0.938,0.941,0.939
AtrialFibrillation,0.333,0.267,0.4,0.35,0.333,0.38,0.395,0.41,0.467
EOGHorizontalSignal,0.307,0.32,0.304,0.315,0.323,0.321,0.322,0.325,0.331
EOGVerticalSignal,0.18,0.207,0.182,0.21,0.249,0.23,0.245,0.255,0.26
Heartbeat,0.741,0.756,0.756,0.75,0.741,0.755,0.758,0.76,0.776
AbnormalHeartbeat,0.746,0.732,0.751,0.74,0.756,0.75,0.755,0.738,0.761
Average Accuracy,0.618,0.624,0.625,0.631,0.635,0.639,0.645,0.647,0.671
GFLOPS_x10^-3,0.095,0.018,0.011,0.15,1.318,0.063,0.31,0.812,0.115
