dataset,LSTNet,LSSL,Rocket,SCINet,MICN,TimesNet,DLinear,LightTS,MTS-Mixer,RLinear,RMLP,FEDformer,Flowformer,Crossformer,PatchTST,ModernTCN
EthanolConcentration,39.9,31.1,45.2,34.4,35.3,35.7,36.2,29.7,33.8,28.9,31.3,31.2,33.8,38.0,32.8,36.3
FaceDetection,65.7,66.7,64.7,68.9,65.2,68.6,68.0,67.5,70.2,65.6,67.3,66.0,67.6,68.7,68.3,70.8
Handwriting,25.8,24.6,58.8,23.6,25.5,32.1,27.0,26.1,26.0,28.1,30.0,28.0,33.8,28.8,29.6,30.6
Heartbeat,77.1,72.7,75.6,77.5,74.7,78.0,75.1,75.1,77.1,72.6,72.7,73.7,77.6,77.6,74.9,77.2
JapaneseVowels,98.1,98.4,96.2,96.0,94.6,98.4,96.2,96.2,94.3,95.9,95.9,98.4,98.9,99.1,97.5,98.8
PEMS-SF,86.7,86.1,75.1,83.8,85.5,89.6,75.1,88.4,80.9,82.7,83.9,80.9,86.0,85.9,89.3,89.1
SelfRegulationSCP1,84.0,90.8,90.8,92.5,86.0,91.8,87.3,89.8,91.7,91.1,92.1,88.7,92.5,92.1,90.7,93.4
SelfRegulationSCP2,52.8,52.2,53.3,57.2,53.6,57.2,50.5,51.1,55.0,56.1,51.0,54.4,56.1,58.3,57.8,60.3
SpokenArabicDigits,100.0,100.0,71.2,98.1,97.1,99.0,81.4,100.0,97.4,96.5,97.6,100.0,98.8,97.9,98.3,98.7
UWaveGestureLibrary,87.8,85.9,94.4,85.1,82.8,85.3,82.1,80.3,82.3,82.5,83.8,85.3,86.6,85.3,85.8,86.7
