Dataset,ED-1NN,DTW-1NN-D,ED-1NN(norm),DTW-1NN-D(norm),DTW-1NN-I,DTW-1NN-I(norm),MLSTM-FCN,WEASEL+MUSE,TapNet,MR-PETSC,SMATE,DA-Net,MF-Net
ArticularyWordRecognition,0.97,0.987,0.97,0.98,0.98,0.98,0.973,0.99,0.987,0.997,0.993,0.98,0.983
AtrialFibrillation,0.267,0.2,0.247,0.22,0.267,0.267,0.267,0.333,0.333,0.4,0.133,0.414,0.466
BasicMotions,0.675,0.975,0.676,0.975,1.0,1.0,0.95,1.0,1.0,1.0,1.0,0.925,0.95
CharacterTrajectories,0.964,0.99,0.964,0.989,0.969,0.969,0.985,0.99,0.997,0.984,0.987,0.998,0.958
FaceDetection,0.519,0.529,0.519,0.529,0.513,0.5,0.545,0.545,0.556,0.574,0.563,0.645,0.664
HandMovementDirection,0.279,0.231,0.278,0.231,0.306,0.303,0.365,0.365,0.378,0.365,0.527,0.347,0.445
Heartbeat,0.62,0.717,0.619,0.717,0.659,0.658,0.663,0.727,0.751,0.702,0.727,0.626,0.692
MotorImagery,0.51,0.5,0.51,0.5,0.39,,0.51,0.5,0.59,0.49,0.59,0.55,0.54
NATOPS,0.86,0.883,0.85,0.883,0.85,0.85,0.889,0.87,0.939,0.917,0.883,0.877,0.927
PEMS-SF,0.705,0.711,0.705,0.711,0.734,0.734,0.699,,0.751,0.861,0.763,0.867,0.884
PenDigits,0.973,0.977,0.973,0.977,0.939,0.939,0.978,0.948,0.98,0.905,0.98,0.989,0.983
SelfRegulationSCP2,0.483,0.539,0.483,0.539,0.533,0.533,0.472,0.46,0.55,0.533,0.556,0.561,0.533
SpokenArabicDigits,0.967,0.963,0.967,0.963,0.96,0.959,0.99,0.982,0.983,0.96,0.982,0.99,0.99
StandWalkJump,0.2,0.2,0.2,0.2,0.333,0.333,0.067,0.333,0.4,0.4,0.2,0.4,0.4
