Dataset,DTW-1NN-D,DTW-1NN-D (norm),DTW-1NN-I,DTW-1NN-I (norm),DenseNet-CT_CAM,ED-1NN,ED-1NN (norm),FCN-CT_CAM,MLSTM-FCN,SLCNN-CT_CAM,TapNet,WEASEL+MUSE
ArticularyWordRecognition,0.987,0.987,0.98,0.98,0.9867,0.97,0.97,0.9867,0.973,0.9867,0.987,0.99
AtrialFibrillation,0.2,0.22,0.267,0.267,0.4667,0.267,0.267,0.4667,0.267,0.4667,0.333,0.333
Avg. Rank,7.333,7.7,8.5,8.5,2.067,9.5,9.7,2.7,7.533,4.367,3.633,5.893
Avg. Value,0.637,0.638,0.639,0.656,0.746,0.606,0.606,0.7313,0.631,0.7101,0.691,0.66
BasicMotions,0.975,0.975,1.0,1.0,1.0,0.675,0.676,1.0,0.95,1.0,1.0,1.0
CharacterTrajectories,0.99,0.989,0.969,0.969,0.9937,0.964,0.964,0.991,0.985,0.8196,0.997,0.99
FaceDetection,0.529,0.529,0.513,0.5,0.5692,0.519,0.519,0.559,0.545,0.5692,0.556,0.545
HandMovementDirection,0.231,0.231,0.306,0.306,0.473,0.279,0.278,0.4865,0.365,0.4459,0.378,0.365
Heartbeat,0.717,0.717,0.659,0.658,0.8195,0.62,0.619,0.8098,0.663,0.7756,0.751,0.727
MotorImagery,0.5,0.5,0.39,,0.66,0.51,0.51,0.57,0.51,0.64,0.59,0.5
NATOPS,0.883,0.883,0.85,0.85,0.9833,0.86,0.85,0.9889,0.889,0.8833,0.939,0.87
PEMS-SF,0.711,0.711,0.734,0.734,0.7977,0.705,0.705,0.7746,0.699,0.7746,0.751,
PenDigits,0.977,0.977,0.939,0.939,0.9877,0.973,0.973,0.9886,0.978,0.936,0.98,0.948
Phoneme,0.151,0.151,0.151,0.151,0.2088,0.104,0.104,0.1616,0.11,0.1816,0.175,0.19
SelfRegulationSCP2,0.539,0.539,0.533,0.533,0.5944,0.483,0.483,0.5944,0.472,0.5889,0.55,0.46
SpokenArabicDigits,0.963,0.963,0.96,0.959,0.9843,0.967,0.967,0.9923,0.99,0.9841,0.983,0.982
StandWalkJump,0.2,0.2,0.333,0.333,0.6667,0.2,0.2,0.6,0.067,0.6,0.4,0.333
Wins/Ties,0.0,0.0,1.0,1.0,9.0,0.0,0.0,7.0,0.0,3.0,2.0,2.0
