Dataset,Train size per class,LITEMVTime,LITETime,ConvTran,InceptionTime,Disjoint-CNN,FCN,ResNet
FaceDetection,2945,61.01,62.37,67.22,58.85,56.65,50.37,59.48
InsectWingbeat,2500,61.72,39.79,71.32,69.56,63.08,60.04,65.0
PenDigits,750,98.86,98.83,98.71,97.97,97.08,98.57,97.71
SpokenArabicDigits,660,98.59,98.77,99.45,98.72,98.59,98.36,98.32
LSST,176,66.42,62.85,61.56,44.56,55.59,56.16,57.25
FingerMovements,158,56.0,44.0,56.0,56.0,54.0,53.0,54.0
MotorImagery,139,53.0,51.0,56.0,53.0,49.0,55.0,52.0
SelfRegulationSCP1,134,73.04,75.09,91.8,86.34,88.39,78.16,83.62
Heartbeat,102,61.46,67.8,78.53,62.48,71.7,67.8,72.68
SelfRegulationSCP2,100,55.0,53.89,58.33,47.22,51.66,46.67,50.0
PhonemeSpectra,85,15.81,17.45,30.62,15.86,28.21,15.99,15.96
CharacterTrajectories,72,99.58,99.51,99.22,98.81,99.45,98.68,99.45
EthanolConcentration,66,69.2,67.3,36.12,34.89,27.75,32.32,31.55
HandMovementDirection,40,35.14,21.62,40.54,37.83,54.05,29.73,28.38
PEMS-SF,39,79.19,82.66,82.84,89.01,89.01,83.24,73.99
RacketSports,38,73.68,78.29,86.18,82.23,83.55,82.23,82.23
Epilepsy,35,99.28,98.55,98.55,99.28,88.98,99.28,99.28
JapaneseVowels,30,96.49,97.3,98.91,97.02,97.56,97.3,91.35
NATOPS,30,90.0,88.89,94.44,91.66,92.77,87.78,89.44
EigenWorms,26,93.89,95.42,59.34,52.67,59.34,41.98,41.98
UWaveGestureLibrary,15,84.68,85.0,89.06,90.93,89.06,85.0,85.0
Libras,12,89.44,87.78,92.77,87.22,85.77,85.0,83.89
ArticularyWordRecognition,11,97.33,97.67,98.33,98.66,98.66,98.0,98.0
BasicMotions,10,100.0,95.0,100.0,100.0,100.0,100.0,100.0
DuckDuckGeese,10,18.0,24.0,62.0,36.0,50.0,36.0,24.0
Cricket,9,98.61,97.22,100.0,98.61,97.72,93.06,97.22
Handwriting,6,40.0,36.82,37.52,30.11,23.72,37.6,18.0
ERing,6,84.44,89.63,96.29,92.96,91.11,90.37,92.96
AtrialFibrillation,5,13.33,6.67,40.0,20.0,40.0,33.33,33.33
StandWalkJump,4,66.67,60.0,33.33,40.0,33.33,40.0,40.0
