Dataset,BORF,DRCIF,HYDRA,IT,MINIROCKET,MRHYDRA,MRSEQL,MRSQM,RDST,ROCKET,RSTSF,ST,W+MUSE
ACSF1,0.610,0.880,0.850,0.920,0.910,0.880,0.710,0.770,0.920,0.880,0.890,0.890,0.920
Adiac,0.652,0.829,0.818,0.813,0.816,0.844,0.739,0.509,0.742,0.785,0.803,0.801,0.824
AGW-X,0.656,0.647,0.686,0.789,0.703,0.736,0.601,0.590,0.693,0.699,0.643,0.590,0.487
AGW-Y,0.706,0.661,0.750,0.817,0.769,0.791,0.680,0.624,0.754,0.774,0.711,0.626,0.563
AGW-Z,0.633,0.661,0.671,0.784,0.679,0.724,0.579,0.546,0.653,0.716,0.674,0.589,0.516
ArrowHead,0.829,0.823,0.834,0.834,0.863,0.863,0.754,0.709,0.857,0.823,0.749,0.806,0.874
ArticularyWordRecognition,0.993,0.983,0.990,0.983,0.990,0.993,0.967,0.950,0.993,0.993,0.980,0.967,0.993
AFib,0.267,0.400,0.133,0.200,0.133,0.067,0.400,0.267,0.200,0.067,0.333,0.267,0.200
BME,0.980,1.000,1.000,0.993,1.000,1.000,0.900,0.840,0.993,1.000,1.000,0.893,0.887
BasicMotions,0.975,1.000,1.000,1.000,1.000,1.000,1.000,0.900,1.000,1.000,1.000,1.000,1.000
Beef,0.733,0.833,0.833,0.667,0.833,0.767,0.600,0.767,0.867,0.800,0.733,0.733,0.833
BeetleFly,0.900,0.900,0.900,0.800,0.850,0.900,0.850,0.900,0.950,0.900,0.900,0.800,0.950
BirdChick,0.900,0.950,0.900,0.900,0.900,0.900,0.800,0.900,0.900,0.900,0.900,0.900,0.900
CBF,1.000,0.999,0.993,0.999,0.999,0.996,0.999,1.000,0.992,1.000,0.992,0.970,0.992
Car,0.917,0.867,0.933,0.883,0.917,0.933,0.850,0.750,0.917,0.900,0.833,0.833,0.900
CharTraj,0.969,0.981,0.986,0.995,0.993,0.992,0.978,0.953,0.992,0.991,0.985,0.974,0.984
Chinatown,0.962,0.985,0.983,0.985,0.983,0.980,0.950,0.968,0.977,0.980,0.983,0.971,0.939
ChiConc,0.721,0.738,0.760,0.870,0.755,0.789,0.718,0.682,0.754,0.812,0.743,0.729,0.772
CinCECGTorso,0.751,1.000,0.995,0.857,0.857,0.969,0.846,0.960,0.993,0.827,0.982,0.938,0.999
Coffee,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.964,0.964,1.000,1.000,1.000,1.000
Computers,0.772,0.732,0.716,0.816,0.732,0.772,0.728,0.736,0.760,0.772,0.752,0.720,0.732
Cricket,1.000,0.986,0.986,0.986,0.986,0.986,0.986,0.958,1.000,1.000,0.986,0.972,1.000
CricketX,0.821,0.746,0.800,0.800,0.821,0.803,0.769,0.705,0.821,0.826,0.746,0.800,0.718
CricketY,0.821,0.790,0.841,0.836,0.828,0.851,0.792,0.710,0.841,0.854,0.800,0.785,0.826
CricketZ,0.838,0.797,0.805,0.810,0.828,0.838,0.764,0.697,0.864,0.859,0.792,0.808,0.764
Crop,0.678,0.780,0.734,0.777,0.766,0.778,0.642,0.641,0.766,0.757,0.777,,0.754
DiatomSR,0.980,0.928,0.948,0.944,0.928,0.964,0.941,0.889,0.922,0.977,0.928,0.938,0.889
DP-OAG,0.770,0.755,0.763,0.727,0.734,0.770,0.748,0.727,0.770,0.777,0.734,0.741,0.806
DP-OC,0.743,0.786,0.786,0.761,0.790,0.808,0.775,0.754,0.768,0.764,0.783,0.812,0.757
DP-TW,0.712,0.669,0.712,0.683,0.655,0.698,0.676,0.705,0.719,0.705,0.655,0.669,0.662
DodgerLoopDay,0.537,0.637,0.512,0.512,0.662,0.600,0.613,0.487,0.625,0.588,0.625,0.550,0.350
DodgerLoopGame,0.855,0.899,0.855,0.877,0.870,0.884,0.746,0.696,0.833,0.877,0.891,0.848,0.630
DLWeekend,0.978,0.986,0.978,0.978,0.986,0.978,0.949,0.957,0.978,0.971,0.986,0.964,0.906
DuckDuckGeese,0.440,0.480,0.680,0.620,0.700,0.640,,,0.420,0.460,,0.560,0.460
ECG200,0.900,0.870,0.870,0.940,0.910,0.910,0.890,0.830,0.900,0.920,0.910,0.900,0.850
ECGS5000,0.944,0.942,0.949,0.939,0.945,0.946,0.943,0.938,0.945,0.946,0.944,0.945,0.944
ECG5D,1.000,0.999,1.000,1.000,1.000,1.000,0.995,0.994,0.999,1.000,0.997,0.997,1.000
EOGHorizontalSignal,0.610,0.599,0.572,0.633,0.613,0.633,0.630,0.398,0.677,0.616,0.599,0.619,0.500
EOGVerticalSignal,0.506,0.594,0.492,0.530,0.522,0.514,0.517,0.398,0.550,0.552,0.552,0.522,0.326
ERing,0.952,0.993,0.985,0.870,0.978,0.989,0.837,0.896,0.985,0.981,0.978,0.952,0.959
Earthquakes,0.748,0.748,0.734,0.727,0.727,0.741,0.683,0.705,0.734,0.741,0.748,0.748,0.748
EigenWorms,0.870,0.931,0.985,0.725,0.939,0.962,,0.809,0.908,0.916,0.954,0.779,0.947
ElecDev,0.757,0.736,0.752,0.705,0.742,0.743,0.696,0.727,0.743,0.729,0.742,,0.765
Epilepsy,0.993,1.000,1.000,0.993,1.000,1.000,0.986,0.993,0.993,0.986,1.000,1.000,1.000
EthanolConc,0.369,0.631,0.548,0.232,0.483,0.589,0.456,0.354,0.620,0.433,0.620,0.760,0.540
EthanolLvl,0.508,0.596,0.588,0.830,0.578,0.638,0.648,0.502,0.664,0.598,0.542,0.696,0.558
